"","variable","MTYPE","n.valid","mean","sd"
"1","EFFICIENCY","Machine 1",32,92.5866057605237,11.181015119566
"2","EFFICIENCY","Machine 2",53,83.3593747144376,13.7989381186727
"3","EFFICIENCY","Machine 3",35,80.5316765618926,9.14810035555732
"4","HRSDOWN","Machine 1",32,1.02687500003125,1.40530201358292
"5","HRSDOWN","Machine 2",53,1.51132075715094,1.81825046454166
"6","HRSDOWN","Machine 3",35,1.85942857637143,2.16968545435322
"7","HRSWRK","Machine 1",32,6.647499986,1.47022930423553
"8","HRSWRK","Machine 2",53,5.18207547124528,2.41611603762157
"9","HRSWRK","Machine 3",35,5.89057141031429,2.16968543247185
